name,anchor_state,note
thomas,kerala,
mathew,kerala,
jacob,kerala,
abraham,kerala,
jose,kerala,
joseph,kerala,
alex,kerala,ambiguous outside Kerala -- anchored to Kerala frequency only
tom,kerala,ambiguous outside Kerala -- anchored to Kerala frequency only
mary,kerala,
anna,kerala,ambiguous outside Kerala -- anchored to Kerala frequency only
susan,kerala,ambiguous outside Kerala -- anchored to Kerala frequency only
elizabeth,kerala,
alphonsa,kerala,
sherin,kerala,
bincy,kerala,
rincy,kerala,
jessy,kerala,
antonio,goa,
francisco,goa,
xavier,goa,
savio,goa,
agnelo,goa,
maria,goa,
filomena,goa,
conceicao,goa,
