name,standard_spelling,note
harapreeth,Harpreet,"plan's own example (docs/PLAN.md Phase 3 step 3). This dataset's Punjab rows transliterate Gurmukhi's implicit vowels rather than suppressing them -- Harpreet appears here as harapreeth, not the standard Roman spelling. Often unisex in Punjabi naming."
gurapreeth,Gurpreet,"see harapreeth note on the transliteration convention; often unisex"
manapreeth,Manpreet,"see harapreeth note; often unisex"
jasapreeth,Jaspreet,"plan's own example; see harapreeth note; often unisex"
gurameeth,Gurmeet,"plan's own example; see harapreeth note; often unisex"
manajeeth,Manjeet/Manjit,"plan's own example; see harapreeth note; often unisex"
paramajeeth,Paramjeet,"see harapreeth note; often unisex"
kuladeep,Kuldeep,"see harapreeth note; often unisex"
amanadeep,Amandeep,"see harapreeth note; often unisex"
manadeep,Mandeep,"see harapreeth note; often unisex"
guradeep,Gurdeep,"see harapreeth note; often unisex"
amarajeeth,Amarjeet,"see harapreeth note; often unisex"
sarabajeeth,Sarabjeet,"see harapreeth note; often unisex"
balajeeth,Baljeet,"see harapreeth note; often unisex"
ranajeeth,Ranjeet,"see harapreeth note; often unisex"
surajeeth,Surjeet,"see harapreeth note; often unisex"
charanajeeth,Charanjeet,"see harapreeth note; often unisex"
harajeeth,Harjeet,"see harapreeth note; often unisex"
karamajeeth,Karamjeet,"see harapreeth note; often unisex"
balaveer,Balveer,"see harapreeth note; often unisex"
sukhadev,Sukhdev,"see harapreeth note; often unisex"
balaviadar,Balvinder,"see harapreeth note; often unisex"
sukhaviadar,Sukhvinder,"see harapreeth note; often unisex"
jasaviadar,Jasvinder,"see harapreeth note; often unisex"
kulaviadar,Kulvinder,"see harapreeth note; often unisex"
rajiadar,Rajinder,"see harapreeth note; often unisex"
lakhaviadar,Lakhvinder,"see harapreeth note; often unisex"
