religion,type,gender,clf_only_picked,overlap,hand_list_total,region
Muslim,first,F,50,0,44,
Muslim,first,M,50,4,50,
Hindu,first,F,50,0,45,
Hindu,first,M,50,7,50,
Christian,first,F,50,0,47,
Christian,first,M,50,0,50,
Sikh,first,F,2,0,20,
Sikh,first,M,14,0,34,
Muslim,last,,25,7,25,North
Muslim,last,,25,11,25,East
Muslim,last,,25,8,25,South
Muslim,last,,25,7,25,West
Hindu,last,,25,4,25,North
Hindu,last,,25,5,25,East
Hindu,last,,25,3,25,South
Hindu,last,,25,6,25,West
Christian,last,,25,0,19,North
Christian,last,,25,1,25,East
Christian,last,,25,10,25,South
Christian,last,,25,0,25,West
Sikh,last,,24,2,59,ALL
