name,type,region,n_total,prop_female,merged_variants
devi,last,East,27114715.0,,
kumar,last,East,6945759.0,,
mandal,last,East,5451188.0,,mandala
khatun,last,East,5010367.0,,
das,last,East,4814687.0,,
sahu,last,East,4774211.0,,
singh,last,East,4397315.0,,singha
ray,last,East,3625520.0,,
kumari,last,East,3623944.0,,
bibi,last,East,3496123.0,,
yadav,last,East,2843891.0,,yadava
mahato,last,East,1974421.0,,
ram,last,East,1885345.0,,
ali,last,East,1795721.0,,
ghosh,last,East,1752553.0,,
sah,last,East,1628603.0,,
paswan,last,East,1406061.0,,
bhoi,last,East,1376744.0,,
pradhana,last,East,1370338.0,,pradhan
sorkar,last,East,1352884.0,,
pal,last,East,1284641.0,,
begam,last,East,1272125.0,,
dis,last,East,1220364.0,,
prasad,last,East,1205440.0,,
ansari,last,East,1202067.0,,
raut,last,East,1179380.0,,
barman,last,East,1164012.0,,
sharma,last,East,1127124.0,,
alam,last,East,1103537.0,,
nayka,last,East,1088867.0,,
mahapatra,last,East,988894.0,,
chaudhary,last,East,889199.0,,
barika,last,East,876102.0,,barik
malik,last,East,853926.0,,
thakur,last,East,841681.0,,
saha,last,East,830486.0,,
behera,last,East,756017.0,,
haldar,last,East,743163.0,,
majhi,last,East,737458.0,,
swain,last,East,722520.0,,
bauri,last,East,710140.0,,
mahat,last,East,699235.0,,
mishra,last,East,685249.0,,
sing,last,East,681329.0,,
manjhi,last,East,644319.0,,
naeka,last,East,631560.0,,
bishwis,last,East,621809.0,,
khan,last,East,621771.0,,
jha,last,East,608379.0,,
bishwas,last,East,582608.0,,
maji,last,East,581771.0,,
maiti,last,East,572530.0,,
padhan,last,East,553814.0,,
patra,last,East,542360.0,,
mallik,last,East,530915.0,,
pandit,last,East,513049.0,,
munda,last,East,507395.0,,
debanath,last,East,496884.0,,
sahni,last,East,489799.0,,
hera,last,East,481291.0,,
gupta,last,East,478478.0,,
rahman,last,East,478001.0,,
jana,last,East,456537.0,,
molla,last,East,445470.0,,
maharana,last,East,440543.0,,
saradar,last,East,439750.0,,
choudhury,last,East,434624.0,,
saav,last,East,428538.0,,
sethi,last,East,420842.0,,
bag,last,East,402536.0,,
karmakar,last,East,398463.0,,
chakrabarti,last,East,386964.0,,
jena,last,East,385954.0,,
murmu,last,East,383498.0,,
hak,last,East,383045.0,,
praveen,last,East,381994.0,,
pramanik,last,East,378702.0,,
bera,last,East,367699.0,,
sardar,last,East,366589.0,,
sinha,last,East,350700.0,,
islam,last,East,345400.0,,
sau,last,East,330431.0,,
nath,last,East,325413.0,,
samanta,last,East,323146.0,,
mian,last,East,314346.0,,
majumdar,last,East,310083.0,,
giri,last,East,306082.0,,
hajra,last,East,298702.0,,
rana,last,East,297405.0,,
parida,last,East,297121.0,,
hosen,last,East,294886.0,,
debabarma,last,East,293557.0,,
soren,last,East,291541.0,,
pandey,last,East,288002.0,,
kha,last,East,285495.0,,
dutta,last,East,283540.0,,
yena,last,East,276660.0,,
uddin,last,East,276250.0,,
mahanta,last,East,275808.0,,
panda,last,East,275617.0,,
bhagat,last,East,273783.0,,
hembram,last,East,271861.0,,
ahmad,last,East,267994.0,,
pande,last,East,267392.0,,
mohanty,last,East,267176.0,,
saren,last,East,265609.0,,
tiwari,last,East,259581.0,,
husain,last,East,259314.0,,
bagdi,last,East,257259.0,,
marak,last,East,256416.0,,
sangma,last,East,253900.0,,
rajak,last,East,253741.0,,
manna,last,East,251839.0,,
adhikari,last,East,250298.0,,
nisha,last,East,240882.0,,
gauda,last,East,229140.0,,
mal,last,East,223569.0,,
dhara,last,East,222036.0,,
sada,last,East,219610.0,,
molya,last,East,217601.0,,
mukhiya,last,East,212201.0,,
sen,last,East,209108.0,,
sek,last,East,208477.0,,
