name,type,gender,religion,region,study,n,source,clf_scores,clf_agrees,human_validated
khan,last,,Muslim,ALL,primary_religion_gender,4281656.0,hand_curated_marker_list,0.9295131840395018,True,False
begam,last,,Muslim,ALL,primary_religion_gender,2728988.0,hand_curated_marker_list,0.99720245267193,True,False
ahmad,last,,Muslim,ALL,primary_religion_gender,2369071.0,hand_curated_marker_list,0.996208946383144,True,False
ansari,last,,Muslim,ALL,primary_religion_gender,1636211.0,hand_curated_marker_list,0.998300464187554,True,False
alam,last,,Muslim,ALL,primary_religion_gender,1393354.0,hand_curated_marker_list,0.9731243400558977,False,False
malik,last,,Muslim,ALL,primary_religion_gender,943069.0,hand_curated_marker_list,0.837390651519781,True,False
rahman,last,,Muslim,ALL,primary_religion_gender,696770.0,hand_curated_marker_list,0.7518130973697453,True,False
hasan,last,,Muslim,ALL,primary_religion_gender,610297.0,hand_curated_marker_list,0.9229468642106342,False,False
pathan,last,,Muslim,ALL,primary_religion_gender,433008.0,hand_curated_marker_list,0.965048461222737,False,False
husain,last,,Muslim,ALL,primary_religion_gender,395472.0,hand_curated_marker_list,0.8910794196151165,True,False
ibrahim,last,,Muslim,ALL,primary_religion_gender,224172.0,hand_curated_marker_list,0.5231439124850111,True,False
ismail,last,,Muslim,ALL,primary_religion_gender,197595.0,hand_curated_marker_list,0.8196903602795812,True,False
yusuf,last,,Muslim,ALL,primary_religion_gender,145723.0,hand_curated_marker_list,0.995511430745674,True,False
usman,last,,Muslim,ALL,primary_religion_gender,92638.0,hand_curated_marker_list,0.8002024394768895,True,False
ahmed,last,,Muslim,ALL,primary_religion_gender,84934.0,hand_curated_marker_list,0.6147604924542135,True,False
noor,last,,Muslim,ALL,primary_religion_gender,75631.0,hand_curated_marker_list,0.9629335156090284,True,False
hussain,last,,Muslim,ALL,primary_religion_gender,54369.0,hand_curated_marker_list,0.7892052567053759,False,False
mohd,first,M,Muslim,ALL,primary_religion_gender,161960.0,hand_curated_marker_list,0.5539013533847713,True,False
mohammed,first,M,Muslim,ALL,primary_religion_gender,132886.0,hand_curated_marker_list,0.8891454691412127,True,False
sameer,first,M,Muslim,ALL,primary_religion_gender,29223.0,hand_curated_marker_list,0.9610356820844708,True,False
fatima,first,F,Muslim,ALL,primary_religion_gender,3022.0,hand_curated_marker_list,0.8865613962520533,True,False
mohammad,first,M,Muslim,ALL,primary_religion_gender,1174.0,hand_curated_marker_list,0.801818549435955,False,False
sharma,last,,Hindu,ALL,primary_religion_gender,3340577.0,hand_curated_marker_list,0.9998823053984738,True,False
gupta,last,,Hindu,ALL,primary_religion_gender,1929277.0,hand_curated_marker_list,0.9997975828346464,True,False
mishra,last,,Hindu,ALL,primary_religion_gender,1426428.0,hand_curated_marker_list,0.9953098947943072,True,False
patel,last,,Hindu,ALL,primary_religion_gender,782098.0,hand_curated_marker_list,0.999825296108842,True,False
tiwari,last,,Hindu,ALL,primary_religion_gender,780658.0,hand_curated_marker_list,0.9996910632674568,True,False
shah,last,,Hindu,ALL,primary_religion_gender,742961.0,hand_curated_marker_list,0.8572710863637657,False,False
pandey,last,,Hindu,ALL,primary_religion_gender,709932.0,hand_curated_marker_list,0.9734165971579676,True,False
reddy,last,,Hindu,ALL,primary_religion_gender,572311.0,hand_curated_marker_list,0.9997389930924542,True,False
nair,last,,Hindu,ALL,primary_religion_gender,485444.0,hand_curated_marker_list,0.999547809919515,True,False
joshi,last,,Hindu,ALL,primary_religion_gender,379197.0,hand_curated_marker_list,0.7109513250587909,False,False
sinha,last,,Hindu,ALL,primary_religion_gender,350700.0,hand_curated_marker_list,0.8632109882567415,True,False
rao,last,,Hindu,ALL,primary_religion_gender,273860.0,hand_curated_marker_list,0.9026693817948622,True,False
mehta,last,,Hindu,ALL,primary_religion_gender,213115.0,hand_curated_marker_list,0.9057794673162638,False,False
desai,last,,Hindu,ALL,primary_religion_gender,143497.0,hand_curated_marker_list,0.6158681686099908,True,False
saxena,last,,Hindu,ALL,primary_religion_gender,121029.0,hand_curated_marker_list,0.8659635834398481,True,False
kapoor,last,,Hindu,ALL,primary_religion_gender,87968.0,hand_curated_marker_list,0.932751471193348,True,False
dwivedi,last,,Hindu,ALL,primary_religion_gender,60486.0,hand_curated_marker_list,0.9933891053554432,True,False
rastogi,last,,Hindu,ALL,primary_religion_gender,59008.0,hand_curated_marker_list,0.7536655846824083,True,False
