name,type,gender,religion,region,n,sources,clf_predicted_religion,clf_max_prob,human_validated
amina,first,F,Muslim,ALL,44247.0,ojas_list,Hindu,0.7984673071242376,False
sameera,first,F,Muslim,ALL,24891.0,ojas_list,Muslim,0.9147739717720968,False
shabana,first,F,Muslim,ALL,21034.0,ojas_list;marker_list,Hindu,0.9784706697141848,False
asma,first,F,Muslim,ALL,18537.0,ojas_list,Muslim,0.8483416177011427,False
shahida,first,F,Muslim,ALL,14300.0,ojas_list,Muslim,0.8765309825623309,False
nargis,first,F,Muslim,ALL,12729.0,ojas_list,Hindu,0.8852751937462546,False
fatima,first,F,Muslim,ALL,11699.0,ojas_list;marker_list,Muslim,0.8865613962520533,False
bushra,first,F,Muslim,ALL,11285.0,ojas_list,Hindu,0.9522680500286388,False
mariam,first,F,Muslim,ALL,8828.0,ojas_list,Christian,0.9997293069411232,False
ruksana,first,F,Muslim,ALL,6332.0,ojas_list,Hindu,0.8874183832166904,False
yasmin,first,F,Muslim,ALL,6253.0,ojas_list;marker_list,Muslim,0.5722731714213373,False
ayesha,first,F,Muslim,ALL,6092.0,ojas_list;marker_list,Christian,0.5087415206881514,False
rehana,first,F,Muslim,ALL,4546.0,ojas_list;marker_list,Muslim,0.7388125663541284,False
farida,first,F,Muslim,ALL,4485.0,ojas_list,Muslim,0.8065134748103052,False
roshni,first,F,Muslim,ALL,4281.0,ojas_list,Christian,0.506327233691962,False
zainab,first,F,Muslim,ALL,4231.0,ojas_list;marker_list,Muslim,0.9906318994648696,False
shahnaz,first,F,Muslim,ALL,3501.0,marker_list,Muslim,0.9674885934708862,False
saira,first,F,Muslim,ALL,3437.0,ojas_list;marker_list,Hindu,0.7180151744681091,False
nasreen,first,F,Muslim,ALL,3165.0,marker_list,Hindu,0.6708608525402601,False
sultana,first,F,Muslim,ALL,3027.0,ojas_list,Hindu,0.5038063565630101,False
samina,first,F,Muslim,ALL,1992.0,ojas_list,Hindu,0.9436014455074944,False
sabiha,first,F,Muslim,ALL,1828.0,ojas_list;marker_list,Muslim,0.9712894802350236,False
shaista,first,F,Muslim,ALL,1643.0,ojas_list,Hindu,0.7172425716716128,False
lubna,first,F,Muslim,ALL,1542.0,ojas_list,Hindu,0.906617830908747,False
rukhsana,first,F,Muslim,ALL,1444.0,marker_list,Hindu,0.9365424412825328,False
tabassum,first,F,Muslim,ALL,1443.0,marker_list,Muslim,0.5912049768346472,False
anisa,first,F,Muslim,ALL,1231.0,ojas_list,Hindu,0.8282990552205158,False
afreen,first,F,Muslim,ALL,1040.0,ojas_list,Muslim,0.9526700952439906,False
nazia,first,F,Muslim,ALL,1031.0,ojas_list;marker_list,Muslim,0.8179364917396457,False
farah,first,F,Muslim,ALL,926.0,ojas_list;marker_list,Muslim,0.8759431984487092,False
rabia,first,F,Muslim,ALL,772.0,ojas_list,Hindu,0.7874695410638517,False
naima,first,F,Muslim,ALL,713.0,ojas_list,Christian,0.4879708852498787,False
shazia,first,F,Muslim,ALL,689.0,ojas_list,Muslim,0.7571505731448527,False
alina,first,F,Muslim,ALL,655.0,ojas_list,Hindu,0.922027190465392,False
tasneem,first,F,Muslim,ALL,575.0,ojas_list,Hindu,0.5528534281309242,False
uzma,first,F,Muslim,ALL,452.0,ojas_list,Muslim,0.9025669879281312,False
