name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist
betty,Hindu,0.9282691884064593,0.9282691884064593,0.006315625086389211,0.005599945061075522,0.059612820488128354,0.00018039678906506273,2.202416888255336e-05
flory,Christian,0.4627065342291897,0.30057521938444315,0.23009176433078343,0.006585381198961151,0.4627065342291897,2.4712652684316407e-05,1.6388203938449732e-05
geo,Christian,0.9922616690385506,0.0075906701353992845,7.136609015472648e-05,7.138230529737678e-05,0.9922616690385506,1.025877828923601e-07,4.809842815050874e-06
jibin,Hindu,0.5051597046380237,0.5051597046380237,0.49226436706166654,0.0021918813001448245,0.0003287968463120152,2.433766421883876e-06,5.281638743100906e-05
justin,Christian,0.602938886418333,0.18332512296848308,0.20924883370053077,0.004410089420319119,0.602938886418333,5.316561959962839e-05,2.3901872734381735e-05
krishnan,Hindu,0.974885191905487,0.974885191905487,0.0003938622376396996,0.00042013898165056365,0.024287966802807173,9.36758259395345e-06,3.47248982171481e-06
robin,Hindu,0.932555781704504,0.932555781704504,0.03080262930110133,0.0029103099737504655,0.0336713050545874,3.2496294918664416e-05,2.7477671138083586e-05
shabnam,Hindu,0.8348551100154764,0.8348551100154764,0.1561930364867961,0.0012384130269123988,0.0075924163528145626,3.2626912053984964e-05,8.839720594648369e-05
shibu,Hindu,0.750237607444178,0.750237607444178,0.23368930813365082,0.003237073925866852,0.012729477881246114,4.964824996833651e-05,5.6884365089653834e-05
wilma,Hindu,0.6163720350632574,0.6163720350632574,0.04218240127298768,0.006337223795604079,0.334990951438109,1.8388712100642847e-05,9.89997179409496e-05
