name,type,gender,religion,region,n,hand,clf,score
rafia,first,F,Muslim,ALL,197.0,1,0.990888810572454,0.9972666431717362
zainab,first,F,Muslim,ALL,2780.0,1,0.9906318994648696,0.9971895698394608
sabiha,first,F,Muslim,ALL,1828.0,1,0.9712894802350236,0.9913868440705071
shahnaz,first,F,Muslim,ALL,3501.0,1,0.9674885934708862,0.9902465780412659
afreen,first,F,Muslim,ALL,1040.0,1,0.9526700952439906,0.9858010285731972
iqra,first,F,Muslim,ALL,101.0,1,0.941432053931758,0.9824296161795274
sameera,first,F,Muslim,ALL,24891.0,1,0.9147739717720968,0.9744321915316291
uzma,first,F,Muslim,ALL,452.0,1,0.9025669879281312,0.9707700963784394
fatima,first,F,Muslim,ALL,11507.0,1,0.8865613962520533,0.965968418875616
farah,first,F,Muslim,ALL,803.0,1,0.8759431984487092,0.9627829595346127
asma,first,F,Muslim,ALL,13649.0,1,0.8483416177011427,0.9545024853103428
nazia,first,F,Muslim,ALL,904.0,1,0.8179364917396457,0.9453809475218937
farida,first,F,Muslim,ALL,4485.0,1,0.8065134748103052,0.9419540424430916
shazia,first,F,Muslim,ALL,689.0,1,0.7571505731448527,0.9271451719434558
rehana,first,F,Muslim,ALL,4546.0,1,0.7388125663541284,0.9216437699062385
gulnaz,first,F,Muslim,ALL,313.0,1,0.6417614136046303,0.8925284240813891
tabassum,first,F,Muslim,ALL,1443.0,1,0.5912049768346472,0.8773614930503941
yasmin,first,F,Muslim,ALL,6137.0,1,0.5722731714213373,0.8716819514264011
rukhsar,first,F,Muslim,ALL,182.0,1,0.5423490099669068,0.8627047029900721
amina,first,F,Muslim,ALL,44247.0,1,0.0,0.7
humaira,first,F,Muslim,ALL,138.0,1,0.0,0.7
rabia,first,F,Muslim,ALL,772.0,1,0.0,0.7
ayesha,first,F,Muslim,ALL,6092.0,1,0.0,0.7
lubna,first,F,Muslim,ALL,1542.0,1,0.0,0.7
bushra,first,F,Muslim,ALL,11285.0,1,0.0,0.7
naima,first,F,Muslim,ALL,713.0,1,0.0,0.7
shaista,first,F,Muslim,ALL,1643.0,1,0.0,0.7
hina,first,F,Muslim,ALL,3279.0,1,0.0,0.7
alina,first,F,Muslim,ALL,655.0,1,0.0,0.7
ambreen,first,F,Muslim,ALL,190.0,1,0.0,0.7
mariam,first,F,Muslim,ALL,8828.0,1,0.0,0.7
nargis,first,F,Muslim,ALL,12729.0,1,0.0,0.7
zara,first,F,Muslim,ALL,125.0,1,0.0,0.7
rukhsana,first,F,Muslim,ALL,1444.0,1,0.0,0.7
kausar,first,F,Muslim,ALL,562.0,1,0.0,0.7
nilofer,first,F,Muslim,ALL,150.0,1,0.0,0.7
ruksana,first,F,Muslim,ALL,6228.0,1,0.0,0.7
tasneem,first,F,Muslim,ALL,575.0,1,0.0,0.7
roshni,first,F,Muslim,ALL,4281.0,1,0.0,0.7
anisa,first,F,Muslim,ALL,1231.0,1,0.0,0.7
shabana,first,F,Muslim,ALL,21034.0,1,0.0,0.7
nasreen,first,F,Muslim,ALL,2510.0,1,0.0,0.7
saira,first,F,Muslim,ALL,3437.0,1,0.0,0.7
nadia,first,F,Muslim,ALL,306.0,1,0.0,0.7
sultana,first,F,Muslim,ALL,3027.0,1,0.0,0.7
samina,first,F,Muslim,ALL,1992.0,1,0.0,0.7
bibi,first,F,Muslim,ALL,10476.0,0,0.9983309210001096,0.2994992763000329
begam,first,F,Muslim,ALL,45850.0,0,0.99720245267193,0.29916073580157904
hameedaabee,first,F,Muslim,ALL,2374.0,0,0.996578107447361,0.29897343223420836
khusaboo,first,F,Muslim,ALL,146843.0,0,0.995443787117474,0.2986331361352423
saif,first,M,Muslim,ALL,677.0,1,0.9999264588696394,0.9999779376608918
rafiq,first,M,Muslim,ALL,1381.0,1,0.9999079478420412,0.9999723843526124
arif,first,M,Muslim,ALL,4095.0,1,0.99576018479105,0.998728055437315
yusuf,first,M,Muslim,ALL,2172.0,1,0.995511430745674,0.9986534292237021
asif,first,M,Muslim,ALL,8695.0,1,0.992993893556005,0.9978981680668015
faizan,first,M,Muslim,ALL,1031.0,1,0.987778714128851,0.9963336142386553
zaid,first,M,Muslim,ALL,162.0,1,0.9809573789649212,0.9942872136894764
aftab,first,M,Muslim,ALL,2140.0,1,0.9796523373381568,0.9938957012014471
hamza,first,M,Muslim,ALL,7743.0,1,0.9751719260015064,0.9925515778004519
shahid,first,M,Muslim,ALL,6383.0,1,0.9747620924696112,0.9924286277408834
sameer,first,M,Muslim,ALL,85473.0,1,0.9610356820844708,0.9883107046253412
irfan,first,M,Muslim,ALL,5090.0,1,0.922626489096084,0.9767879467288252
kashif,first,M,Muslim,ALL,145.0,1,0.913009035515795,0.9739027106547384
faisal,first,M,Muslim,ALL,14164.0,1,0.8956113325970351,0.9686833997791104
mohammed,first,M,Muslim,ALL,135624.0,1,0.8891454691412127,0.9667436407423637
mansoor,first,M,Muslim,ALL,12451.0,1,0.8758875417180227,0.9627662625154068
sultan,first,M,Muslim,ALL,3678.0,1,0.82474606131694,0.9474238183950819
ismail,first,M,Muslim,ALL,15293.0,1,0.8196903602795812,0.9459071080838743
tariq,first,M,Muslim,ALL,194.0,1,0.7989162856884089,0.9396748857065227
jamal,first,M,Muslim,ALL,5960.0,1,0.7820893237759595,0.9346267971327878
naeem,first,M,Muslim,ALL,63675.0,1,0.7787216783590338,0.9336165035077102
farhan,first,M,Muslim,ALL,1253.0,1,0.7657689445372715,0.9297306833611815
mohd,first,M,Muslim,ALL,162716.0,1,0.5539013533847713,0.8661704060154314
bilal,first,M,Muslim,ALL,1238.0,1,0.0,0.7
mubashir,first,M,Muslim,ALL,1392.0,1,0.0,0.7
junaid,first,M,Muslim,ALL,17121.0,1,0.0,0.7
danish,first,M,Muslim,ALL,2665.0,1,0.0,0.7
sohail,first,M,Muslim,ALL,581.0,1,0.0,0.7
salman,first,M,Muslim,ALL,9572.0,1,0.0,0.7
adnan,first,M,Muslim,ALL,754.0,1,0.0,0.7
rashid,first,M,Muslim,ALL,6532.0,1,0.0,0.7
rizwan,first,M,Muslim,ALL,1563.0,1,0.0,0.7
shadab,first,M,Muslim,ALL,1536.0,1,0.0,0.7
nawaz,first,M,Muslim,ALL,538.0,1,0.0,0.7
azhar,first,M,Muslim,ALL,1149.0,1,0.0,0.7
tabrez,first,M,Muslim,ALL,295.0,1,0.0,0.7
nadeem,first,M,Muslim,ALL,58848.0,1,0.0,0.7
aamir,first,M,Muslim,ALL,41673.0,1,0.0,0.7
javed,first,M,Muslim,ALL,6643.0,1,0.0,0.7
kamran,first,M,Muslim,ALL,175.0,1,0.0,0.7
imran,first,M,Muslim,ALL,8401.0,1,0.0,0.7
zeeshan,first,M,Muslim,ALL,621.0,1,0.0,0.7
mohammad,first,M,Muslim,ALL,48684.0,1,0.0,0.7
zubair,first,M,Muslim,ALL,1320.0,1,0.0,0.7
yasin,first,M,Muslim,ALL,2136.0,1,0.0,0.7
anwar,first,M,Muslim,ALL,11094.0,1,0.0,0.7
ilyas,first,M,Muslim,ALL,1159.0,1,0.0,0.7
ehsan,first,M,Muslim,ALL,106.0,1,0.0,0.7
sana,first,M,Muslim,ALL,17009.0,1,0.0,0.7
wasim,first,M,Muslim,ALL,6346.0,1,0.0,0.7
radha,first,F,Hindu,ALL,96448.0,1,0.9996055970608332,0.9998816791182499
rupa,first,F,Hindu,ALL,12771.0,1,0.999068836230342,0.9997206508691026
radhika,first,F,Hindu,ALL,26172.0,1,0.99816519342409,0.999449558027227
namrata,first,F,Hindu,ALL,1792.0,1,0.9963639375978846,0.9989091812793653
